Symbol,Company Name,Yahoo Ticker,Tier,Status
RELIANCE,RELIANCE,RELIANCE.NS,TIER_1,ACTIVE
TCS,TCS,TCS.NS,TIER_1,ACTIVE
HDFCBANK,HDFCBANK,HDFCBANK.NS,TIER_1,ACTIVE
ICICIBANK,ICICIBANK,ICICIBANK.NS,TIER_1,ACTIVE
INFY,INFY,INFY.NS,TIER_1,ACTIVE
BHARTIARTL,BHARTIARTL,BHARTIARTL.NS,TIER_1,ACTIVE
ITC,ITC,ITC.NS,TIER_1,ACTIVE
SBIN,SBIN,SBIN.NS,TIER_1,ACTIVE
LT,LT,LT.NS,TIER_1,ACTIVE
HINDUNILVR,HINDUNILVR,HINDUNILVR.NS,TIER_1,ACTIVE
AXISBANK,AXISBANK,AXISBANK.NS,TIER_1,ACTIVE
KOTAKBANK,KOTAKBANK,KOTAKBANK.NS,TIER_1,ACTIVE
BAJFINANCE,BAJFINANCE,BAJFINANCE.NS,TIER_1,ACTIVE
EXIDEIND,EXIDEIND,EXIDEIND.NS,TIER_1,ACTIVE
M&M,M&M,M&M.NS,TIER_1,ACTIVE
SUNPHARMA,SUNPHARMA,SUNPHARMA.NS,TIER_1,ACTIVE
HCLTECH,HCLTECH,HCLTECH.NS,TIER_1,ACTIVE
TITAN,TITAN,TITAN.NS,TIER_1,ACTIVE
NTPC,NTPC,NTPC.NS,TIER_1,ACTIVE
POWERGRID,POWERGRID,POWERGRID.NS,TIER_1,ACTIVE
GRASIM,GRASIM,GRASIM.NS,TIER_1,ACTIVE
TATASTEEL,TATASTEEL,TATASTEEL.NS,TIER_1,ACTIVE
ASIANPAINT,ASIANPAINT,ASIANPAINT.NS,TIER_1,ACTIVE
TECHM,TECHM,TECHM.NS,TIER_1,ACTIVE
INDUSINDBK,INDUSINDBK,INDUSINDBK.NS,TIER_1,ACTIVE
BAJAJFINSV,BAJAJFINSV,BAJAJFINSV.NS,TIER_1,ACTIVE
NESTLEIND,NESTLEIND,NESTLEIND.NS,TIER_1,ACTIVE
JSWSTEEL,JSWSTEEL,JSWSTEEL.NS,TIER_1,ACTIVE
TATACONSUM,TATACONSUM,TATACONSUM.NS,TIER_1,ACTIVE
CHOLAFIN,CHOLAFIN,CHOLAFIN.NS,TIER_1,ACTIVE
ADANIENT,ADANIENT,ADANIENT.NS,TIER_1,ACTIVE
TVSMOTOR,TVSMOTOR,TVSMOTOR.NS,TIER_1,ACTIVE
HAL,HAL,HAL.NS,TIER_1,ACTIVE
ONGC,ONGC,ONGC.NS,TIER_1,ACTIVE
COALINDIA,COALINDIA,COALINDIA.NS,TIER_1,ACTIVE
SHRIRAMFIN,SHRIRAMFIN,SHRIRAMFIN.NS,TIER_1,ACTIVE
CIPLA,CIPLA,CIPLA.NS,TIER_1,ACTIVE
HINDALCO,HINDALCO,HINDALCO.NS,TIER_1,ACTIVE
AMBUJACEM,AMBUJACEM,AMBUJACEM.NS,TIER_1,ACTIVE
ASHOKLEY,ASHOKLEY,ASHOKLEY.NS,TIER_1,ACTIVE
MOTHERSON,MOTHERSON,MOTHERSON.NS,TIER_1,ACTIVE
WIPRO,WIPRO,WIPRO.NS,TIER_1,ACTIVE
SBILIFE,SBILIFE,SBILIFE.NS,TIER_1,ACTIVE
JIOFIN,JIOFIN,JIOFIN.NS,TIER_1,ACTIVE
VBL,VBL,VBL.NS,TIER_1,ACTIVE
MAXHEALTH,MAXHEALTH,MAXHEALTH.NS,TIER_1,ACTIVE
BRITANNIA,BRITANNIA,BRITANNIA.NS,TIER_1,ACTIVE
TATAPOWER,TATAPOWER,TATAPOWER.NS,TIER_1,ACTIVE
HDFCLIFE,HDFCLIFE,HDFCLIFE.NS,TIER_1,ACTIVE
HEROMOTOCO,HEROMOTOCO,HEROMOTOCO.NS,TIER_1,ACTIVE
INDHOTEL,INDHOTEL,INDHOTEL.NS,TIER_1,ACTIVE
DRREDDY,DRREDDY,DRREDDY.NS,TIER_1,ACTIVE
BEL,BEL,BEL.NS,TIER_1,ACTIVE
PIDILITIND,PIDILITIND,PIDILITIND.NS,TIER_1,ACTIVE
GAIL,GAIL,GAIL.NS,TIER_1,ACTIVE
VEDL,VEDL,VEDL.NS,TIER_1,ACTIVE
ETERNAL,ETERNAL,ETERNAL.NS,TIER_1,ACTIVE
HAVELLS,HAVELLS,HAVELLS.NS,TIER_1,ACTIVE
COFORGE,COFORGE,COFORGE.NS,TIER_1,ACTIVE
MPHASIS,MPHASIS,MPHASIS.NS,TIER_1,ACTIVE
ADANIPORTS,ADANIPORTS,ADANIPORTS.NS,TIER_1,ACTIVE
BPCL,BPCL,BPCL.NS,TIER_1,ACTIVE
IOC,IOC,IOC.NS,TIER_1,ACTIVE
SIEMENS,SIEMENS,SIEMENS.NS,TIER_1,ACTIVE
DLF,DLF,DLF.NS,TIER_1,ACTIVE
GODREJCP,GODREJCP,GODREJCP.NS,TIER_1,ACTIVE
DABUR,DABUR,DABUR.NS,TIER_1,ACTIVE
BANKBARODA,BANKBARODA,BANKBARODA.NS,TIER_1,ACTIVE
PNB,PNB,PNB.NS,TIER_1,ACTIVE
CANBK,CANBK,CANBK.NS,TIER_1,ACTIVE
PFC,PFC,PFC.NS,TIER_1,ACTIVE
RECLTD,RECLTD,RECLTD.NS,TIER_1,ACTIVE
IRFC,IRFC,IRFC.NS,TIER_1,ACTIVE
TRENT,TRENT,TRENT.NS,TIER_1,ACTIVE
INTERGLOBE,INTERGLOBE,INDIGO.NS,TIER_1,ACTIVE
COFORGE,COFORGE,COFORGE.NS,TIER_1,ACTIVE
COLPAL,COLPAL,COLPAL.NS,TIER_1,ACTIVE
MARICO,MARICO,MARICO.NS,TIER_1,ACTIVE
BERGEPAINT,BERGEPAINT,BERGEPAINT.NS,TIER_1,ACTIVE
ICICIPRULI,ICICIPRULI,ICICIPRULI.NS,TIER_1,ACTIVE
ICICIGI,ICICIGI,ICICIGI.NS,TIER_1,ACTIVE
MUTHOOTFIN,MUTHOOTFIN,MUTHOOTFIN.NS,TIER_1,ACTIVE
LODHA,LODHA,LODHA.NS,TIER_1,ACTIVE
GODREJPROP,GODREJPROP,GODREJPROP.NS,TIER_1,ACTIVE
OBEROIRLTY,OBEROIRLTY,OBEROIRLTY.NS,TIER_1,ACTIVE
ASTRAL,ASTRAL,ASTRAL.NS,TIER_1,ACTIVE
CUMMINSIND,CUMMINSIND,CUMMINSIND.NS,TIER_1,ACTIVE
BALKRISIND,BALKRISIND,BALKRISIND.NS,TIER_1,ACTIVE
